0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,106.121,0.0,104.37,0.0,0.0,0.0,103.79,138.265,0.0,137.696,0.0,144.043,0.0,0.0,,,,
0,0.0,104.274,0.0,103.747,0.0,0.0,108.226,139.398,102.704,0.0,102.941,117.839,105.665,105.485,105.39,107.137,0.0,0.0
0,146.014,107.721,0.0,106.194,0.0,0.0,106.433,132.895,105.378,115.796,0.0,104.164,0.0,0.0,104.087,0.0,0.0,
0,112.984,105.904,0.0,105.038,0.0,0.0,105.145,136.015,0.0,135.189,103.975,0.0,141.769,0.0,0.0,0.0,,
0,109.297,0.0,106.891,0.0,0.0,107.261,137.503,115.355,0.0,146.467,105.418,145.82,145.976,112.164,142.75,0.0,,
0,132.401,106.495,0.0,0.0,0.0,104.906,134.603,145.097,104.113,0.0,104.279,0.0,126.663,103.985,0.0,0.0,,
0,107.295,0.0,0.0,0.0,105.001,132.379,104.723,129.883,0.0,104.236,0.0,104.139,0.0,0.0,,,,
0,107.463,0.0,104.314,0.0,0.0,104.632,127.429,142.942,103.256,0.0,128.106,103.457,0.0,103.339,0.0,0.0,,
0,107.206,0.0,0.0,0.0,105.366,138.464,104.923,140.43,0.0,104.526,0.0,104.329,0.0,0.0,,,,
0,107.092,0.0,104.716,0.0,0.0,0.0,104.739,141.803,0.0,103.738,0.0,122.068,104.04,0.0,0.0,,,
0,115.661,105.087,0.0,0.0,0.0,104.645,143.526,111.157,0.0,103.563,0.0,126.128,140.753,105.718,0.0,0.0,,
0,107.422,147.846,105.216,0.0,0.0,0.0,104.672,129.792,149.328,103.986,0.0,143.805,124.138,146.915,115.043,0.0,0.0,
0,107.293,142.187,105.806,0.0,0.0,0.0,104.347,124.665,0.0,127.113,145.451,103.903,0.0,109.503,0.0,0.0,,
0,107.733,0.0,105.704,0.0,0.0,0.0,104.713,136.084,0.0,105.051,147.4,104.439,0.0,0.0,,,,
0,0.0,0.0,107.798,0.0,111.661,143.945,105.783,0.0,105.299,113.664,107.44,0.0,0.0,,,,,
0,131.819,0.0,105.029,0.0,0.0,104.509,0.0,0.0,0.0,104.087,0.0,0.0,0.0,,,,,
0,107.355,0.0,105.737,0.0,0.0,129.848,105.096,0.0,131.119,122.754,0.0,103.859,0.0,114.815,143.058,0.0,,
0,105.914,0.0,104.15,0.0,0.0,104.012,130.677,0.0,103.421,0.0,0.0,103.257,138.92,0.0,0.0,,,
0,0.0,0.0,104.852,149.246,103.863,0.0,113.267,148.354,103.014,0.0,110.082,0.0,0.0,,,,,
0,108.259,0.0,105.705,0.0,0.0,0.0,104.882,126.731,0.0,130.253,132.371,104.151,0.0,104.266,0.0,140.552,,
